"Caudal","pH","Temperatura","Conductividad","Salinidad","Solidos.Totales","O2","O2p","DBO5","DQO","FT","NT","Turbidez","Coliformes"
831.8,7.69,25.3,1061,0.5,531,0.14,1.9,85,171,3.0886,27.0829,242,11857142
42.37,7.86,28,1153,0.5,576,0.08,1.2,500,938,12.6371,81.7255,581,35857142
753.7,7.83,24.8,882,0.4,441,1.09,14.3,220,338,4.2504,19.1683,215,16857142
121.9,8.04,22,246,0,122,7.45,100.8,5,46,0.306,2.673,27,45714.28
28.39,8.06,21.8,177.5,0,89,7.33,99.3,5,13,0.1182,1.9169,7,614.28
20.4,7.57,28.4,185,0,92,6.44,95.1,15,112,0.4963,5.6781,525,11714.28
68.9,7.36,18.8,421,0.1,210,5.04,67.7,85,187,2.7492,17.003,88,5428571
392.9,7.74,23.3,264,0,132,6.72,92.5,80,283,2.0738,20.303,748,1.1e+07
202.2,7.69,24.8,750,0.3,375,4.71,77.2,250,464,4.3004,30.8636,470,1.1e+07
1505,7.69,22.5,669,0.3,335,5.06,66.9,44,62,1.1345,10.7476,102,9428571
720.3,7.79,25.3,977,0.4,488,0.24,3.4,130,234,3.3021,20.3434,136,11714285
40.73,8.05,26.7,1098,0.5,549,0.92,13.14,600,1065,12.4414,58.1341,700,33714285
108.9,7.72,17.9,388,0.1,194,6.75,88.9,20,39,0.9231,8.4115,21,1e+06
384.2,7.81,21.6,316,0.1,159,7.31,97.3,58,108,1.293,10.6876,263,2714285
195.8,7.75,26.5,945,0.4,473,0.15,2.2,340,780,7.8178,44.8574,372,20428571
573,7.8,22.9,1001,0.4,500,0.2,2.6,200,372,5.1296,33.9225,201,20142857.14
49.3,8.26,21.9,305,0.1,153,7.56,98.9,1,30,0.2808,3.0424,8,4285
27.91,7.22,22,180,0,90,7.38,97.5,4,20,0.1152,1.6256,5,685
1825,7.31,22.4,685,0.3,343,4.77,62.9,38,103,2.0958,13.9157,30,857142
900,7.74,25.8,891,0.4,445,0.14,1.9,100,214,3.5852,22.4873,69,9714285
42.14,7.97,26.1,1092,0.5,544,1.02,14.9,420,771,8.0208,55.0177,430,22714285
94.96,7.71,17.4,633,0.2,317,4.88,63.6,135,228,4.1818,27.316,41,857142
310,7.36,20.9,536,0.2,268,1.97,25.8,210,302,2.5115,12.9572,87,4428571
149.3,7.69,24.9,893,0.4,446,0.27,3.9,270,416,4.9214,32.337,187,28714285
560.9,7.43,24.5,895,0.4,447,0.15,2,190,332,4.4353,20.4185,150,9571428
54.19,7.73,21,273,0,132,7.59,100.6,3,18,0.5884,2.9066,13,12142
28.36,7.67,21.4,175.7,0,88,7.72,100.6,2,2.5,0.1119,1.7528,4,114
19.34,8.14,23.7,176,0,88,7.62,105.7,1,7,0.1252,1.022,4,2285
135.4,7.79,15.7,642,0.2,321,3.2,40.5,160,287,3.8652,34.9153,150,1.1e+07
206.1,7.36,19.5,657,0.2,328,1.83,22.1,550,2158,13.8173,84.7372,3500,11833333
495,7.81,22.1,1103,0.5,552,0.65,8.5,250,468,5.4529,38.2576,290,3285714
925.7,7.74,23.8,1048,0.5,524,0.74,10.3,300,500,5.5822,44.0367,320,2428571
204,7.83,21.2,923,0.4,462,2.4,31,200,333,5.7028,47.0995,220,4e+06
1217,7.7,23.8,989,0.4,496,0.11,1.9,150,417,5.8408,38.5325,310,8714286
84.3,7.73,16.4,707,0.3,354,2.76,34.7,220,410,6.1449,34.3947,310,9900000
106.8,7.82,21.9,966,0.4,486,0.29,3,250,439,6.7508,49.5766,260,1e+07
522.5,7.77,25.7,1224,0.6,611,0.15,2.5,450,1102,9.0027,56.3157,700,1e+07
1038,7.62,27.6,1080,0.5,540,0.14,2,260,491,6.9903,45.7665,250,4700000
1219,7.82,21.2,1024,0.4,512,4,52.9,140,274,4.7991,41.2641,370,7300000
0.352,7.98,28.2,203,0.05,101,8.05,117.3,3,20,0.2109,1.1066,11,12
48.25,7.83,17,617,0.2,309,4.76,62.5,90,195,2.8918,32.0415,88,9200000
286,7.34,21.9,636,0.2,319,1.58,20.8,450,1861,58.8758,98.1699,2800,2.8e+07
623.6,7.83,25.4,1108,0.5,555,0.23,3.4,170,462,5.2054,23.6035,320,2.4e+07
445.8,7.71,27.3,1021,0.5,511,0.1,1.3,170,508,5.1187,21.4009,340,1.8e+07
105.6,7.75,21.9,1044,0.5,522,0.04,0.5,250,458,7.4618,52.4318,310,2.8e+07
831.6,7.76,23,1082,0.5,541,1.36,18.9,135,246,4.9293,35.3579,240,2.6e+07
11.13,7.91,23.2,192.5,0.05,96,5.4,72.2,7,11,0.1277,0.7829,8,1600
67.82,7.73,19.9,695,0.3,348,0.83,11.1,180,304,5.5527,34.4755,129,1e+06
243.5,7.31,25,881,0.4,441,0.18,2.5,1200,1359,28.1379,66.2951,1392,4.5e+07
543.8,7.85,26,944,0.4,473,0.29,4.1,210,351,4.8409,40.4285,532,1.3e+07
345.9,7.69,26.4,1030,0.5,515,0.21,2.8,130,283,4.6754,49.3607,200,1.2e+07
75.43,7.82,23.8,962,0.4,483,0.46,6.2,170,321,6.5472,31.8748,117,2.7e+07
4.43,8.09,22.9,185.6,0.05,93,6.49,88.8,3,10,0.1141,0.7046,1,620
1508,7.83,27.2,770,0.3,385,2.88,41.2,52,144,2.0285,20.6032,113,1.9e+07
99.12,7.8,21.3,622,0.2,311,4.05,57.3,90,169,1.6596,27.8284,59,1.4e+07
332.3,7.36,25.8,922,0.4,462,0.13,2.1,450,2152,44.241,132.6447,5052,3.3e+07
615.9,7.87,24.6,1097,0.5,549,0.07,1.2,240,444,5.4579,47.9247,213,3.3e+07
696.1,7.72,25.5,988,0.4,494,0.09,1.2,120,280,3.9094,43.2072,166,1.7e+07
89.3,7.78,23.4,852,0.4,436,1.38,5.2,220,329,5.8281,30.834,209,2.8e+07
2.99,7.54,22.9,190.6,0.05,89,5.4,86,3,27,0.0946,0.6299,6,1.2e+07
1991,7.74,24.5,993,0.4,496,2.09,28.2,105,209,4.5122,27.5867,206,6.6e+07
62.73,7.87,17.5,549,0.2,275,6.36,83.3,48,75,5.2971,20.3058,16,540000
299.5,7.26,23.1,420,0.1,210,5.57,76.4,450,2849,49.0189,138.6661,39300,1.1e+07
