Caudal;pH;Temperatura;Conductividad;Salinidad;Solidos Totales;O2;O2p;DBO5;DQO;FT;NT;Turbidez;Coliformes
302.2;7.59;21.3;719;0.3;360;0.15;2.1;180;375;3.8129;34.352;221;8600000
613.4;7.8;24.4;1008;0.4;1010;0.37;7.9;320;476;6.6396;59.4033;285;14000000
6.15;8.08;19.7;476;0.1;238;5.03;67;6;41;0.5744;3.7328;6;12000
28.06;7.78;15.9;580;0.2;290;2.96;37.8;70;107;2.7618;21.4803;35;1800000
311.3;7.12;21.2;528;0.2;264;3;39.1;550;1561;34.6941;81.6989;2200;5400000
101.3;7.8;24.8;907;0.4;454;0.69;15.1;400;631;7.3796;48.8;295;10000000
1593;7.82;21.1;930;0.4;469;2.56;32.1;95;189;4.0576;28.8813;63;8600000
2.98;8.25;25.9;155.9;0.05;78;4.96;70.1;8;46;0.4393;2.1948;276;1500
19.09;8.08;21.2;175.5;0.05;93;4.71;84.4;3;5;0.1085;1.8298;4;430
1162;7.72;27.4;994;0.4;497;0.81;11.8;190;365;6.0104;48.1771;163;8600000
14.07;8.02;26.7;1048;0.5;252;2.04;29.8;260;494;11.576;56.8889;190;7800000
