Caudal;pH;Temperatura;Conductividad;Salinidad;Solidos Totales;O2;O2p;DBO5;DQO;FT;NT;Turbidez;Coliformes
1.2;7.719;26.8;923;0.4;924;0.15;0.4;120;201;22;2.5194;136;24000000
0.04146;7.854;22.5;519;0.2;520;4.22;63.7;55;128;1.9;2.2937;26;7900000
0.2781;7.66;28.2;963;0.4;971;0.4;4.3;250;499;3.1;3.9468;87;22000000
0.09028;7.93;24.9;690;0.3;691;0.83;11.8;160;370;10.3;2.9298;102;33000000
0.076;8.076;23.7;202;0;203;6.1;83.7;2.5;10;0.6;0.2833;3;20
0.486;7.79;27.1;849;0.4;850;0.34;4.2;190;417;3.4;3.707;118;23000000
0.9711;7.804;29.8;907;0.4;905;0.51;5;360;648;3.4;5.34;141;11000000
0.0995;7.97;21;510;0.2;306;4.56;60;80;229;2.6;3.4349;163;1400000
0.29025;7.7;24.65;396;0.1;235;2.7;38.4;40;159;1.6;1.5903;79;140000
0.058344;8.19;22.8;170.3;0;102;6.6;88;5;31;2;0.2019;23;350
1.05615;7.73;26.9;851;0.4;512;0.23;3.2;260;557;39;5.1587;210;2500000
0.8368;7.86;26.2;882;0.4;529;0.9;12.4;165;293;27;4.794;280;2100000
1.201188;7.76;26.1;792;0.3;475;1.09;15;80;230;19;2.7875;870;17000000
0.02742;8.03;23.7;195.1;0;117;6.28;84.5;7;14;2.3;0.3333;7;150
2.4776;7.55;26.3;676;0.3;407;1.14;16.1;86;91;22;2.3047;220;1200000
0.14978;7.7;27.5;756;0.3;454;0.91;13.4;130;554;32;4.9002;350;2100000
0.13576;8.02;18.6;509;0.2;305;4.81;65;70;158;22;1.9308;42;3500000
0.463641;7.34;22;575;0.2;345;2.05;27;240;449;25;2.8067;235;160000000
0.58784;7.69;27.4;938;0.4;563;0.4;5.7;110;480;33;4.2643;910;13000000
0.80323;7.79;29.8;872;0.4;523;1.83;28.4;115;258;36;5.3448;150;200000
0.7961;7.81;26.4;845;0.4;507;0.78;11.3;180;557;31;3.9683;530;4900000
1.262;7.77;28.4;640;0.2;385;0.6;10.5;165;258;23;2.5494;420;340000
1.6955;7.77;26.5;758;0.3;455;1.71;25;60;191;18;1.9156;118;21000
0.171759;7.9;28.1;785;0.3;471;0.33;4.5;220;425;28;3.7413;270;2100000
0.06566;8.24;26.2;176.3;0;106;6.34;90.4;1;16;1.3;0.1728;10;3500
0.1835;7.86;17.6;451;0.1;270;5.58;74.2;42;68;13;2.1747;44;540000
0.6378;7.32;22.1;354;0.1;213;4.92;65.6;125;2570;11;0.7924;7900;4700000
0.1289;7.56;18.6;474;0.1;285;5.07;66.6;40;122;24;1.747;42;700000
0.6757;7.68;21.1;541;0.2;324;3.37;44.7;150;361;21;2.3351;225;54000000
0.715;7.58;28.6;876;0.4;529;0.21;3.3;150;368;27;3.6306;210;11000000
1.594;7.66;31.3;572;0.2;343;2.1;32.5;140;338;24;3.1585;222;460000
0.043;8.16;23.6;183.6;0;111;6.51;87.9;3;8.8;1.2;0.1813;7;330
1.96;7.57;26.6;586;0.2;352;2.21;31.2;70;252;17.5;1.6398;264;2400000
0.09819;8.01;18.6;873;0.4;524;1.85;25;410;383;40;7.988;267;3400000
0.29801;7.56;21.9;660;0.2;396;2.03;27;230;376;26;2.991;140;2700000
0.6583;7.39;25.7;1005;0.4;603;0.32;4.5;240;493;36;6.822;270;54000000
