Caudal;pH;Temperatura;Conductividad;Salinidad;Solidos Totales;O2;O2p;DBO5;DQO;FT;NT;Turbidez;Coliformes
0.154074;7.65;13.4;530;0.2;265;4.73;56.6;85;147;1.9253;20;26;1300000
0.345127;7.53;19.4;573;0.2;286;4.02;50;300;901;1.1406;28;154;35000000
0.0144795;7.42;20.3;171.7;0;86;6.4;78.8;3;28;0.1308;0.9;2;1600
1.1574;7.63;23.2;1001;0.4;501;0.28;3.8;135;270;3.3345;35;123;4800000
0.135641;7.5;21.1;847;0.4;423;2.1;27;300;926;5.9164;47;161;1400000
0.69095;7.74;22.4;1036;0.5;518;0.02;0.1;320;983;5.8267;45;520;550000
1.00065;7.49;24.7;959;0.4;480;0.2;2.5;120;241;1.9861;35;92;7900000
0.0267678;7.15;21.4;177.8;0;89;5.77;77;3;2.6;0.1233;1.5;4;61
1.2421;7.6;26;991;0.4;496;0.04;0.5;190;448;5.5607;45;240;3400000
0.417568;7.66;18.7;633;0.2;317;0.91;12;190;384;3.7492;35;210;3900000
0.27106755;7.32;22.6;1058;0.5;529;0.36;4.6;280;647;5.48;41;280;17000000
0.106524825;7.68;22.1;962;0.4;481;1.09;15;210;503;7.5928;56;370;3300000
0.562042575;7.62;28;999;0.4;500;0.18;2;220;501;5.7011;38;470;13000000
0.82383817;7.61;26.38;1158;0.5;579;0;0;170;433;3.8191;47;240;13000000
0.02327;7.19;21.2;156.4;0;78;5.92;76.6;3;12;0.1375;0.7786;5;350
1.196953;7.49;24.7;943;0.4;472;0.92;12.4;190;299;4.6574;24.6524;220;13000000
0.15441;7.31;17.5;731;0.3;366;1.46;19.1;190;328;7.3346;24.2206;220;4100000
0.24755;7.47;22.7;987;0.4;494;0.19;2.3;250;1310;6.0565;18.7817;290;13000000
0.12247;7.73;21.6;914;0.4;457;1.32;17.8;240;438;6.7188;34.1116;320;6100000
0.536517;7.58;25.8;1179;0.5;590;0.12;1.5;320;711;7.4386;23.7286;320;320000
0.3633;7.49;25.7;938;0.4;470;0.23;4;200;359;5.0465;31.3993;250;93000
0.09042105;7.56;19;647;0.2;324;0.88;11.5;170;458;5.01;26.64;210;9400000
0.876711;7.25;23.7;601;0.2;301;1.01;13.6;450;1106;0.84;19.776;1450;3400000
1.29149;7.73;26;823;0.3;412;0.12;1.3;260;540;5.97;28.752;300;3410000
1.198436;7.58;25.1;844;0.4;422;0.65;8.5;180;910;3.51;21.72;1250;4800000
0.03409;7.44;22.4;170.4;0;85;5.56;73.8;3;13.9;0.1845;0.375;5;1.8
1.27454;7.63;27;1063;0.5;533;1.34;21;160;431;4.39;21.6;350;1700000
0.079549;7.6;27.3;970;0.4;475;0.3;4.1;540;819;7.8;31.48888;560;11000000
0.108431;7.69;19.1;630;0.2;315;1.62;21.9;155;251;3.69;26.05;180;1200000
0.8323;7.04;24.4;503;0.2;251;1.88;26.5;300;1147;0.8274;20.064;3350;2200000
0.0864;7.71;22.9;810;0.3;405;0.39;5.6;200;375;6.06;30.12;200;22000000
0.02472;7.06;22.8;165.2;0;83;4.72;61.6;3;11.1;0.156;0.655;1;46
1.77315;7.66;27.7;910;0.4;455;0.06;1.4;155;290;5.265;29;230;24000000
0.721374;7.82;25.1;715;0.3;358;2.55;35.6;150;500;3.39;22.25;210;3400000
0.01972;7.64;24.3;469;0.1;234;3.37;46.5;85;360;1.935;14.95;160;170000
0.61241;7.78;25.8;937;0.4;468;0.28;3.9;80;580;4.695;25.7;220;4100000
0.399356;7.71;26.2;809;0.3;405;0.25;4.2;180;420;2.865;21.9;80;4700000
0.1104888;7.6;21.7;773;0.3;386;0.15;1.9;360;790;8.82;42.9;550;3400000
0.3958148;7.32;25.6;783;0.3;392;0.02;0.4;340;720;4.775;28.5;170;3400000
0.0366912;7.77;24.2;781;0.3;391;1.9;28;300;550;4.215;32.8;190;1400000
0.0259911;7.27;22.1;183;0;92;6.01;80;3;12.3;1.53;0.925;3;350
1.61272;7.64;22.9;505;0.2;253;4.04;54.8;26;45;0.96;10.6;110;170000
0.13087;7.84;22.5;742;0.3;372;2.84;38.7;300;710;4.2705;24.036;140;930000
0.1598;7.54;23.2;171.7;0;86;6.16;77.7;3;14;0.1624;0.8618;4;24
1.05857;7.6;23.9;733;0.3;367;3.27;46.2;38;58;2.1131;15.5973;80;3300000
0.85063;7.66;26.7;925;0.4;463;0.25;4;120;303;5.1622;33.2995;150;3300000
1.52654;7.59;25.4;600;0.2;300;0.7;9.4;50;428;3.9541;20.4829;250;3400000
0.11185;7.46;19.3;544;0.2;272;2.86;39.4;110;185;2.7172;20.8636;70;210000
0.54183;7.44;23.7;380;0.1;190;4.81;66.9;200;685;3.4651;27.716;3750;140000
0.0513033;7.34;23.1;174;0;87;5.67;80.3;3;30;0.201;0.994;8;31
1.6379;7.61;24.1;780;0.3;390;2.16;29.3;70;122;3.636;35.357;60;2400000
0.2486;7.57;25.5;1050;0.4;476;0.06;0.9;540;900;10.877;54.296;600;3200000
0.16084;7.67;17.3;534;0.2;267;3.59;47.7;86;123;2.435;21.577;70;3200000
0.47359;7.76;21.1;553;0.2;276;4.04;53.1;85;183;2.778;19.375;70;3400000
0.569861;7.6;23.7;931;0.4;466;0.15;2.3;160;357;4.037;22.521;180;4700000
1.543496;7.62;24.5;658;0.3;329;0.93;13.6;100;222;2.95;16.921;320;610000
7.4503;7.73;25.4;816;0.3;408;1.52;21.1;190;232;3.027;25.6575;190;1700000
5.925;7.58;27.2;728;0.3;363;1.78;25.2;120;244;2.0569;20.2148;170;22000000
0.03295;8.12;23.6;171.3;0;86;5.82;79.1;3;18;0.1275;0.8317;3;52
0.39569;7.58;26.4;735;0.3;369;2.12;30.8;230;454;3.4836;33.9975;370;3300000
0.314437;7.24;19.5;473;0.1;237;4.7;63.8;100;177;2.368;20.2106;120;930000
0.416374;7.59;22.9;706;0.3;353;3.48;462;10.5;194;1.2878;12.9874;80;930000
0.67;7.66;26;957;0.4;479;0.2;3.6;22;397;5.1262;35.502;160;14000000
0.7;7.58;27.8;748;0.3;370;0.66;9.1;130;289;4.1601;30.9791;150;2600000
0.03;7.46;22;167.6;0;84;5.62;73.8;3;13.3;0.1193;1.03523;7;17
3.69;7.12;22.4;349;0.1;173;3.85;51.2;70;142;1.1959;13.7934;530;260000
0.14;7.33;25.7;562;0.2;285;3.72;53.6;220;467;2.8629;24.9321;360;1400000
0.1;7.6;17.3;427;0.1;214;4.85;63.6;60;237;1.5297;16.9563;44;1100000
1.62;7.34;21.9;359;0.1;180;5.56;72;105;174;1.2993;15.228;300;120000
0.7134;7.66;22.7;1081;0.5;541;0.59;8;260;423;5.9776;32.1487;220;17000000
1.621;7.58;25.4;816;0.3;408;0.92;12.1;155;231;4.008;26.1842;150;14000000
0.1905;7.39;19.8;768;0.3;363;3.01;43;200;494;5.0074;29.8225;140;4900000
0.01649;7.54;20.1;178.1;0;89;6.91;86.7;3;15;0.3569;1.2323;16;920
2.28;7.52;21.7;867;0.4;431;3.4;45.2;100;296;3.1688;18.5015;380;7900000
0.0809;7.21;18;506;0.2;253;4;50.5;140;199;3.1839;16.875;80;1400000
0.2511;7.22;21.9;760;0.3;381;2.4;28;240;443;4.6245;23.8988;160;2400000
1.349;7.56;22.7;1149;0.5;580;0.56;8;250;353;6.7761;32.2153;240;11000000
0.6976;7.59;23.1;1003;0.4;502;0.45;5.8;160;308;4.8516;25.9983;200;13000000
2.892;7.48;23.6;1023;0.4;512;0.51;7.9;160;251;5.0043;23.3778;190;18000000
0.03205;7.54;4;184.5;0;90;6.77;87.6;3;5.5;0.0995;1.3943;6;13
0.1864;7.48;24.4;915;0.4;458;0.46;6.9;480;689;9.0365;38.7462;440;13000000
0.109;7.5;16.9;541;0.2;271;2.97;39.2;130;179;3.2284;20.8218;120;7000
0.3235;7.31;22.1;839;0.3;420;0.59;7.1;400;738;0.4869;10.0943;2450;170
