Caudal;pH;Temperatura;Conductividad;Salinidad;Solidos Totales;O2;O2p;DBO5;DQO;FT;NT;Turbidez;Coliformes
1158;7.78;23.9;858;0.4;429;1.63;0.27;80;193;2.6071;18.0034;180;13000000
937.7;7.79;26.2;960;0.4;480;0.08;1;220;470;4.8443;33.6354;1140;9500000
720.7;7.87;24;925;0.4;465;0.15;1.9;150;330;3.2208;32.4764;240;2600000
117.3;7.82;16.2;596;0.2;298;2.5;31.3;130;265;3.7424;26.2808;110;920000
356.1;7.67;21.2;844;0.4;422;1.8;234;390;578;4.0114;36.2926;140;2400000
50.35;7.87;22;850;0.4;425;1.26;16.2;210;368;4.6546;36.6433;180;35000000
46.5;8.34;25.3;178.8;0;89;8.27;109.9;3;26;0.1761;1.5763;41;220
1466;7.67;23.8;936;0.4;478;1.09;14.7;120;268;3.246;26.5217;210;7000000
120.1;7.83;16.5;631;0.2;316;3.24;40.3;150;291;3.9857;29.2242;160;2600000
406.3;7.47;21;917;0.4;459;1.91;23.4;600;2741;3.1057;44.8256;4550;1000000
115.1;7.86;22.9;886;0.4;443;0.26;2.7;360;611;5.8936;42.1754;540;54000000
736.8;7.92;24.5;1173;0.5;587;0.09;2.4;230;477;5.783;32.7692;810;1700000
650.6;7.79;26.1;985;0.4;498;0.48;7.4;260;482;5.5729;43.1977;260;2200000
37.95;8.46;24.8;198.3;0;99;7.57;104.1;7;51;0.1376;1.0504;8;91
1598;7.77;22.3;976;0.4;488;0.98;12.9;240;446;4.9017;35.7054;800;4500000
